City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
171,Saint-Joseph,RE,70.16,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
178,Muriti,TZ,71.71,overcast clouds,-1.9833,32.9167,
182,San Quintin,MX,73.27,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
183,Victoria,HK,86.32,light rain,22.2855,114.1577,Mini Hotel Central
184,Praya,CV,82.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
185,Acarau,BR,82.15,broken clouds,-2.8856,-40.12,castelo pizzaria
186,Axim,GH,77.45,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
188,Ixtapa,MX,87.22,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
191,Rasipuram,IN,74.16,overcast clouds,11.4667,78.1667,KALYAN RESIDENCY
193,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
199,Vila Franca Do Campo,PT,76.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
204,Issenye,TZ,75.58,overcast clouds,-2.0,34.3333,
205,Kita,ML,80.22,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
208,Bend,US,73.85,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
209,Tessalit,ML,88.38,few clouds,20.1986,1.0114,
210,Sur,OM,88.5,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
212,Fallon,US,70.92,clear sky,39.4735,-118.7774,Best Western Fallon Inn & Suites
218,Jieshi,CN,81.68,clear sky,22.8134,115.8257,Yuehai Hotel
221,Half Moon Bay,US,87.82,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
222,Hasaki,JP,70.29,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
226,Yarada,IN,80.92,few clouds,17.65,83.2667,Jeevan
227,Benguela,AO,71.08,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
229,Evanston,US,87.46,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
235,Rivadavia,AR,73.87,clear sky,-33.1905,-68.4608,Posada Del Fin Del Mundo
237,Nchelenge,ZM,78.66,broken clouds,-9.3451,28.734,KD Travellers Home
240,Kaduqli,SD,77.45,clear sky,11.0167,29.7167,فندق الله جابو
245,Qandala,SO,88.23,overcast clouds,11.472,49.8728,
249,Bandarbeyla,SO,79.09,overcast clouds,9.4942,50.8122,JABIR HOTEL
251,Paracatu,BR,89.46,overcast clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
254,Shasta Lake,US,88.09,clear sky,40.6804,-122.3708,Shasta Dam Motel
260,Honiara,SB,79.11,overcast clouds,-9.4333,159.95,Heritage Park Hotel
261,Kotri,PK,79.48,overcast clouds,25.366,68.3122,Drivers Running Room
262,Pandan,PH,79.86,overcast clouds,14.0453,124.1694,Bonifacio Lodge
264,Grinnell,US,89.11,clear sky,41.743,-92.7224,"Country Inn & Suites by Radisson, Grinnell, IA"
266,Tarakan,ID,80.6,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
267,Poum,NC,73.22,broken clouds,-20.2333,164.0167,Gîte kajeon
