City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Russell,US,32.3502,-85.1999,84.9,56,20,0.0,few clouds
79,Hirara,JP,24.8,125.2833,81.81,77,14,12.37,few clouds
80,Krasnokamensk,RU,50.0979,118.0369,30.67,72,12,5.19,few clouds
81,Kandi,BJ,11.1342,2.9386,76.15,82,22,2.93,light rain
82,Ola,RU,59.5833,151.2833,35.24,81,100,29.15,overcast clouds
83,Bartlesville,US,36.7473,-95.9808,71.6,95,90,4.61,moderate rain
84,Yizheng,CN,24.6706,103.4296,57.38,94,45,2.01,scattered clouds
85,Mtwara,TZ,-10.2667,40.1833,75.07,84,0,6.76,clear sky
86,Saint George,US,37.1041,-113.5841,77.63,17,1,1.01,clear sky
87,Port Alfred,ZA,-33.5906,26.891,63.95,93,29,10.71,scattered clouds
88,Bubaque,GW,11.2833,-15.8333,82.2,79,14,11.32,light rain
89,Baruun-Urt,MN,46.6806,113.2792,31.62,55,6,6.73,clear sky
90,Tarazona,ES,41.9,-1.7333,63.19,55,0,2.1,clear sky
91,Esperance,AU,-33.8667,121.9,57.04,78,0,6.33,clear sky
92,Porto Velho,BR,-8.7619,-63.9039,89.65,55,40,3.44,scattered clouds
93,Cayenne,GF,4.9333,-52.3333,87.84,77,20,3.0,few clouds
94,Mount Gambier,AU,-37.8333,140.7667,53.51,94,90,14.97,overcast clouds
95,Te Karaka,NZ,-38.4654,177.8679,48.18,92,15,1.34,few clouds
96,Mareeba,AU,-17.0,145.4333,65.44,96,85,1.43,overcast clouds
97,Vila,PT,42.0304,-8.1588,57.7,79,100,0.63,overcast clouds
98,Fare,PF,-16.7,-151.0167,78.96,72,1,18.5,clear sky
99,Lavrentiya,RU,65.5833,-171.0,31.41,82,36,15.03,scattered clouds
100,Kavaratti,IN,10.5669,72.642,81.82,79,99,13.49,overcast clouds
101,Fairbanks,US,64.8378,-147.7164,31.6,74,90,0.0,overcast clouds
102,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,76,51,17.18,broken clouds
103,Katsuura,JP,35.1333,140.3,70.11,93,100,24.99,moderate rain
104,Panjab,AF,34.388,67.0233,52.63,37,8,5.37,clear sky
105,Kodiak,US,57.79,-152.4072,44.11,93,100,5.75,light rain
106,Hanstholm,DK,57.1167,8.6167,50.63,77,67,13.53,broken clouds
107,San Pedro,PH,14.35,121.0167,79.83,87,40,0.0,scattered clouds
108,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,88,20,10.36,few clouds
109,Qaanaaq,GL,77.484,-69.3632,26.29,87,100,11.74,overcast clouds
110,Upernavik,GL,72.7868,-56.1549,33.06,82,100,14.14,overcast clouds
111,Muroto,JP,33.2833,134.15,76.19,75,44,6.78,scattered clouds
112,Dodola,ET,6.9833,39.1833,54.43,88,97,0.83,light rain
113,Kapaa,US,22.0752,-159.319,80.58,79,75,3.0,light rain
114,Pala,TD,9.3642,14.9046,77.38,78,98,2.75,overcast clouds
115,Clyde River,CA,70.4692,-68.5914,36.32,70,100,6.02,overcast clouds
116,Kingsport,US,36.5484,-82.5618,84.67,40,75,1.99,broken clouds
117,Chuy,UY,-33.6971,-53.4616,60.71,83,100,16.98,moderate rain
118,Saldanha,ZA,-33.0117,17.9442,60.85,88,0,9.57,clear sky
119,Hambantota,LK,6.1241,81.1185,79.88,77,100,7.0,overcast clouds
120,Bredasdorp,ZA,-34.5322,20.0403,57.27,95,65,8.52,broken clouds
121,Pipri,IN,19.8,75.5333,76.01,79,42,4.41,scattered clouds
122,Avera,US,33.194,-82.5271,87.67,39,99,1.45,overcast clouds
123,Harper,LR,4.375,-7.7169,77.67,85,34,7.02,scattered clouds
124,Marawi,PH,7.9986,124.2928,65.64,93,100,2.75,overcast clouds
125,Portland,US,45.5234,-122.6762,66.6,81,90,3.0,overcast clouds
126,Atar,MR,20.5169,-13.0499,97.39,11,1,10.85,clear sky
127,Kirensk,RU,57.7853,108.1119,32.43,92,100,1.34,overcast clouds
128,Sao Filipe,CV,14.8961,-24.4956,79.41,80,71,3.44,broken clouds
129,Carnarvon,AU,-24.8667,113.6333,64.47,94,53,5.75,broken clouds
130,Cape Town,ZA,-33.9258,18.4232,62.28,69,0,5.75,clear sky
131,Tazovskiy,RU,67.4667,78.7,32.88,96,100,17.27,overcast clouds
132,Ostrovnoy,RU,68.0531,39.5131,43.07,86,100,5.46,overcast clouds
133,Rocha,UY,-34.4833,-54.3333,60.73,86,100,13.87,moderate rain
134,Dingle,PH,10.9995,122.6711,75.7,91,80,2.55,broken clouds
135,Arica,CL,-18.475,-70.3042,71.15,68,0,9.22,clear sky
136,Puerto Baquerizo Moreno,EC,-0.9,-89.6,76.19,73,75,17.27,light rain
137,Barrow,US,71.2906,-156.7887,30.22,69,90,12.66,light snow
138,Kozhva,RU,65.1073,57.0459,33.06,82,99,6.91,overcast clouds
139,Palmer,US,42.1584,-72.3287,61.5,55,75,3.0,broken clouds
140,General Salgado,BR,-20.6483,-50.3606,95.16,23,91,2.91,overcast clouds
141,Tautira,PF,-17.7333,-149.15,80.62,76,20,17.52,light rain
142,Butaritari,KI,3.0707,172.7902,81.66,76,100,12.44,light rain
143,Blagoyevo,RU,63.3667,47.9167,44.55,97,100,3.74,overcast clouds
144,Daitari,IN,21.1,85.75,72.75,95,100,1.39,overcast clouds
145,Onguday,RU,50.75,86.15,42.12,96,100,2.64,overcast clouds
146,Luangwa,ZM,-15.6167,30.4167,86.04,33,0,12.48,clear sky
147,Bairiki,KI,1.3292,172.9752,80.6,69,20,8.05,few clouds
148,Samana,DO,19.2056,-69.3369,93.42,70,75,4.61,broken clouds
149,El Fuerte,MX,26.4189,-108.6194,91.44,37,0,4.7,clear sky
150,Natchez,US,31.5604,-91.4032,84.42,70,40,4.61,scattered clouds
151,Sangre Grande,TT,10.5835,-61.1177,85.96,76,96,6.85,overcast clouds
152,Maniitsoq,GL,65.4167,-52.9,35.69,58,96,4.38,overcast clouds
153,Narsaq,GL,60.9167,-46.05,39.42,44,0,3.78,clear sky
154,Vitim,RU,59.4511,112.5578,30.24,99,99,2.77,overcast clouds
155,Sobolevo,RU,54.4299,31.8996,40.06,88,93,5.79,overcast clouds
156,Airai,TL,-8.9266,125.4092,59.72,60,74,2.53,broken clouds
157,Saint-Georges,GD,12.0564,-61.7485,82.35,77,88,11.1,overcast clouds
158,Ilebo,CD,-4.3167,20.5833,72.16,89,91,2.08,overcast clouds
159,Bethel,US,41.3712,-73.414,63.99,63,90,9.22,overcast clouds
160,Luga,RU,58.7372,29.8453,40.06,91,57,4.94,broken clouds
161,Port Blair,IN,11.6667,92.75,81.14,83,47,8.66,scattered clouds
162,Murici,BR,-9.3067,-35.9433,80.89,85,27,8.12,scattered clouds
163,Bereda,ES,43.2686,-7.5406,60.42,89,100,1.95,overcast clouds
164,Ede,NL,52.0333,5.6583,56.86,76,90,10.36,overcast clouds
165,Matay,EG,28.419,30.7792,79.25,46,0,18.45,clear sky
